id,name,region,metropolitan_area,province,province_initials,catastal_code,,,cap,,
1375,Mercallo,Lombardia,,Varese,VA,F134,0,0,21020,0,0
1376,Mesenzana,Lombardia,,Varese,VA,F154,0,0,21030,0,0
1377,Montegrino Valtravaglia,Lombardia,,Varese,VA,F526,0,0,21010,0,0
1378,Monvalle,Lombardia,,Varese,VA,F703,0,0,21020,0,0
1379,Morazzone,Lombardia,,Varese,VA,F711,0,0,21040,0,0
1380,Mornago,Lombardia,,Varese,VA,F736,0,0,21020,0,0
1381,Oggiona con Santo Stefano,Lombardia,,Varese,VA,G008,0,0,21040,0,0
1382,Olgiate Olona,Lombardia,,Varese,VA,G028,0,0,21057,0,0
1383,Origgio,Lombardia,,Varese,VA,G103,0,0,21040,0,0
1384,Orino,Lombardia,,Varese,VA,G105,0,0,21030,0,0
1385,Osmate,Lombardia,,Varese,VA,E529,0,0,21018,0,0
1386,Porto Ceresio,Lombardia,,Varese,VA,G906,0,0,21050,0,0
1387,Porto Valtravaglia,Lombardia,,Varese,VA,G907,0,0,21010,0,0
1388,Rancio Valcuvia,Lombardia,,Varese,VA,H173,0,0,21030,0,0
1389,Ranco,Lombardia,,Varese,VA,H174,0,0,21020,0,0
1390,Saltrio,Lombardia,,Varese,VA,H723,0,0,21050,0,0
1391,Samarate,Lombardia,,Varese,VA,H736,0,0,21017,0,0
1392,Saronno,Lombardia,,Varese,VA,I441,0,0,21047,0,0
1393,Sesto Calende,Lombardia,,Varese,VA,I688,0,0,21018,0,0
1394,Solbiate Arno,Lombardia,,Varese,VA,I793,0,0,21048,0,0
1395,Solbiate Olona,Lombardia,,Varese,VA,I794,0,0,21058,0,0
1396,Somma Lombardo,Lombardia,,Varese,VA,I819,0,0,21019,0,0
1397,Sumirago,Lombardia,,Varese,VA,L003,0,0,21040,0,0
1398,Taino,Lombardia,,Varese,VA,L032,0,0,21020,0,0
1399,Ternate,Lombardia,,Varese,VA,L115,0,0,21020,0,0
1400,Tradate,Lombardia,,Varese,VA,L319,0,0,21049,0,0
1401,Travedona-Monate,Lombardia,,Varese,VA,L342,0,0,21028,0,0
1402,Tronzano Lago Maggiore,Lombardia,,Varese,VA,A705,0,0,21010,0,0
1403,Uboldo,Lombardia,,Varese,VA,L480,0,0,21040,0,0
1404,Valganna,Lombardia,,Varese,VA,L577,0,0,21039,0,0
1405,Varano Borghi,Lombardia,,Varese,VA,L671,0,0,21020,0,0
1406,Varese,Lombardia,,Varese,VA,L682,1,0,21100,0,0
1407,Vedano Olona,Lombardia,,Varese,VA,L703,0,0,21040,0,0
1408,Venegono Inferiore,Lombardia,,Varese,VA,L733,0,0,21040,0,0
1409,Venegono Superiore,Lombardia,,Varese,VA,L734,0,0,21040,0,0
1410,Vergiate,Lombardia,,Varese,VA,L765,0,0,21029,0,0
1411,Viggiù,Lombardia,,Varese,VA,L876,0,0,21040,0,0
1412,Vizzola Ticino,Lombardia,,Varese,VA,M101,0,0,21010,0,0
1413,Sangiano,Lombardia,,Varese,VA,H872,0,0,21038,0,0
1414,Maccagno con Pino e Veddasca,Lombardia,,Varese,VA,M339,0,0,21100,0,0
1415,Albavilla,Lombardia,,Como,CO,A143,0,0,22031,0,0
1416,Albese con Cassano,Lombardia,,Como,CO,A153,0,0,22032,0,0
1417,Albiolo,Lombardia,,Como,CO,A164,0,0,22070,0,0
1418,Alserio,Lombardia,,Como,CO,A224,0,0,22040,0,0
1419,Alzate Brianza,Lombardia,,Como,CO,A249,0,0,22040,0,0
1420,Anzano del Parco,Lombardia,,Como,CO,A319,0,0,22040,0,0
1421,Appiano Gentile,Lombardia,,Como,CO,A333,0,0,22070,0,0
1422,Argegno,Lombardia,,Como,CO,A391,0,0,22010,0,0
1423,Arosio,Lombardia,,Como,CO,A430,0,0,22060,0,0
1424,Asso,Lombardia,,Como,CO,A476,0,0,22033,0,0
1425,Barni,Lombardia,,Como,CO,A670,0,0,22030,0,0
1426,Bene Lario,Lombardia,,Como,CO,A778,0,0,22010,0,0
1427,Beregazzo con Figliaro,Lombardia,,Como,CO,A791,0,0,22070,0,0
1428,Binago,Lombardia,,Como,CO,A870,0,0,22070,0,0
1429,Bizzarone,Lombardia,,Como,CO,A898,0,0,22020,0,0
1430,Blessagno,Lombardia,,Como,CO,A904,0,0,22028,0,0
1431,Blevio,Lombardia,,Como,CO,A905,0,0,22020,0,0
1432,Bregnano,Lombardia,,Como,CO,B134,0,0,22070,0,0
1433,Brenna,Lombardia,,Como,CO,B144,0,0,22040,0,0
1434,Brienno,Lombardia,,Como,CO,B172,0,0,22010,0,0
1435,Brunate,Lombardia,,Como,CO,B218,0,0,22034,0,0
1436,Bulgarograsso,Lombardia,,Como,CO,B262,0,0,22070,0,0
1437,Cabiate,Lombardia,,Como,CO,B313,0,0,22060,0,0
1438,Cadorago,Lombardia,,Como,CO,B346,0,0,22071,0,0
1439,Caglio,Lombardia,,Como,CO,B355,0,0,22030,0,0
1440,Cagno,Lombardia,,Como,CO,B359,0,0,22070,0,0
1441,Campione d'Italia,Lombardia,,Como,CO,B513,0,0,22060,0,0
1442,Cantù,Lombardia,,Como,CO,B639,0,0,22010,0,0
1443,Canzo,Lombardia,,Como,CO,B641,0,0,22035,0,0
1444,Capiago Intimiano,Lombardia,,Como,CO,B653,0,0,22070,0,0
1445,Carate Urio,Lombardia,,Como,CO,B730,0,0,22010,0,0
1446,Carbonate,Lombardia,,Como,CO,B742,0,0,22070,0,0
1447,Carimate,Lombardia,,Como,CO,B778,0,0,22060,0,0
1448,Carlazzo,Lombardia,,Como,CO,B785,0,0,22010,0,0
1449,Carugo,Lombardia,,Como,CO,B851,0,0,22060,0,0
1450,Casasco d'Intelvi,Lombardia,,Como,CO,B942,0,0,22022,0,0
1451,Caslino d'Erba,Lombardia,,Como,CO,B974,0,0,22030,0,0
1452,Casnate con Bernate,Lombardia,,Como,CO,B977,0,0,22070,0,0
1453,Cassina Rizzardi,Lombardia,,Como,CO,C020,0,0,22070,0,0
1454,Castelmarte,Lombardia,,Como,CO,C206,0,0,22030,0,0
1455,Castelnuovo Bozzente,Lombardia,,Como,CO,C220,0,0,22070,0,0
1456,Castiglione d'Intelvi,Lombardia,,Como,CO,C299,0,0,22023,0,0
1457,Cavargna,Lombardia,,Como,CO,C381,0,0,22010,0,0
1458,Cerano d'Intelvi,Lombardia,,Como,CO,C482,0,0,22020,0,0
1459,Cermenate,Lombardia,,Como,CO,C516,0,0,22072,0,0
1460,Cernobbio,Lombardia,,Como,CO,C520,0,0,22012,0,0
1461,Cirimido,Lombardia,,Como,CO,C724,0,0,22070,0,0
1462,Claino con Osteno,Lombardia,,Como,CO,C787,0,0,22010,0,0
1463,Colonno,Lombardia,,Como,CO,C902,0,0,22010,0,0
1464,Como,Lombardia,,Como,CO,C933,1,0,22100,0,0
1465,Corrido,Lombardia,,Como,CO,D041,0,0,22010,0,0
1466,Cremia,Lombardia,,Como,CO,D147,0,0,22010,0,0
1467,Cucciago,Lombardia,,Como,CO,D196,0,0,22060,0,0
1468,Cusino,Lombardia,,Como,CO,D232,0,0,22010,0,0
1469,Dizzasco,Lombardia,,Como,CO,D310,0,0,22020,0,0
1470,Domaso,Lombardia,,Como,CO,D329,0,0,22013,0,0
1471,Dongo,Lombardia,,Como,CO,D341,0,0,22014,0,0
1472,Dosso del Liro,Lombardia,,Como,CO,D355,0,0,22010,0,0
1473,Erba,Lombardia,,Como,CO,D416,0,0,22036,0,0
1474,Eupilio,Lombardia,,Como,CO,D445,0,0,22030,0,0
1475,Faggeto Lario,Lombardia,,Como,CO,D462,0,0,22020,0,0
1476,Faloppio,Lombardia,,Como,CO,D482,0,0,22020,0,0
1477,Fenegrò,Lombardia,,Como,CO,D531,0,0,22010,0,0
1478,Figino Serenza,Lombardia,,Como,CO,D579,0,0,22060,0,0
1479,Fino Mornasco,Lombardia,,Como,CO,D605,0,0,22073,0,0
1480,Garzeno,Lombardia,,Como,CO,D930,0,0,22010,0,0
1481,Gera Lario,Lombardia,,Como,CO,D974,0,0,22010,0,0
1482,Grandate,Lombardia,,Como,CO,E139,0,0,22070,0,0
1483,Grandola ed Uniti,Lombardia,,Como,CO,E141,0,0,22010,0,0
1484,Griante,Lombardia,,Como,CO,E172,0,0,22011,0,0
1485,Guanzate,Lombardia,,Como,CO,E235,0,0,22070,0,0
1486,Inverigo,Lombardia,,Como,CO,E309,0,0,22044,0,0
1487,Laglio,Lombardia,,Como,CO,E405,0,0,22010,0,0
1488,Laino,Lombardia,,Como,CO,E416,0,0,22020,0,0
1489,Lambrugo,Lombardia,,Como,CO,E428,0,0,22045,0,0
1490,Lasnigo,Lombardia,,Como,CO,E462,0,0,22030,0,0
1491,Lezzeno,Lombardia,,Como,CO,E569,0,0,22025,0,0
1492,Limido Comasco,Lombardia,,Como,CO,E593,0,0,22070,0,0
1493,Lipomo,Lombardia,,Como,CO,E607,0,0,22030,0,0
1494,Livo,Lombardia,,Como,CO,E623,0,0,38020,0,0
1495,Locate Varesino,Lombardia,,Como,CO,E638,0,0,22070,0,0
1496,Lomazzo,Lombardia,,Como,CO,E659,0,0,22074,0,0
1497,Longone al Segrino,Lombardia,,Como,CO,E679,0,0,22030,0,0
1498,Luisago,Lombardia,,Como,CO,E735,0,0,22070,0,0
1499,Lurago d'Erba,Lombardia,,Como,CO,E749,0,0,22040,0,0
1500,Lurago Marinone,Lombardia,,Como,CO,E750,0,0,22070,0,0
1501,Lurate Caccivio,Lombardia,,Como,CO,E753,0,0,22075,0,0
1502,Magreglio,Lombardia,,Como,CO,E830,0,0,22030,0,0
1503,Mariano Comense,Lombardia,,Como,CO,E951,0,0,22066,0,0
1504,Maslianico,Lombardia,,Como,CO,F017,0,0,22026,0,0
1505,Menaggio,Lombardia,,Como,CO,F120,0,0,22017,0,0
1506,Merone,Lombardia,,Como,CO,F151,0,0,22046,0,0
1507,Moltrasio,Lombardia,,Como,CO,F305,0,0,22010,0,0
1508,Monguzzo,Lombardia,,Como,CO,F372,0,0,22040,0,0
1509,Montano Lucino,Lombardia,,Como,CO,F427,0,0,22070,0,0
1510,Montemezzo,Lombardia,,Como,CO,F564,0,0,22010,0,0
1511,Montorfano,Lombardia,,Como,CO,F688,0,0,22030,0,0
1512,Mozzate,Lombardia,,Como,CO,F788,0,0,22076,0,0
1513,Musso,Lombardia,,Como,CO,F828,0,0,22010,0,0
1514,Nesso,Lombardia,,Como,CO,F877,0,0,22020,0,0
1515,Novedrate,Lombardia,,Como,CO,F958,0,0,22060,0,0
1516,Olgiate Comasco,Lombardia,,Como,CO,G025,0,0,22077,0,0
1517,Oltrona di San Mamette,Lombardia,,Como,CO,G056,0,0,22070,0,0
1518,Orsenigo,Lombardia,,Como,CO,G126,0,0,22030,0,0
1519,Peglio,Lombardia,,Como,CO,G415,0,0,61049,0,0
1520,Pianello del Lario,Lombardia,,Como,CO,G556,0,0,22010,0,0
1521,Pigra,Lombardia,,Como,CO,G665,0,0,22020,0,0
1522,Plesio,Lombardia,,Como,CO,G737,0,0,22010,0,0
1523,Pognana Lario,Lombardia,,Como,CO,G773,0,0,22020,0,0
1524,Ponna,Lombardia,,Como,CO,G821,0,0,22020,0,0
1525,Ponte Lambro,Lombardia,,Como,CO,G847,0,0,22037,0,0
1526,Porlezza,Lombardia,,Como,CO,G889,0,0,22018,0,0
1527,Proserpio,Lombardia,,Como,CO,H074,0,0,22030,0,0
1528,Pusiano,Lombardia,,Como,CO,H094,0,0,22030,0,0
1529,Rezzago,Lombardia,,Como,CO,H255,0,0,22030,0,0
1530,Rodero,Lombardia,,Como,CO,H478,0,0,22070,0,0
1531,Ronago,Lombardia,,Como,CO,H521,0,0,22027,0,0
1532,Rovellasca,Lombardia,,Como,CO,H601,0,0,22069,0,0
1533,Rovello Porro,Lombardia,,Como,CO,H602,0,0,22070,0,0
1534,Sala Comacina,Lombardia,,Como,CO,H679,0,0,22010,0,0
1535,San Bartolomeo Val Cavargna,Lombardia,,Como,CO,H760,0,0,22010,0,0
1536,San Fedele Intelvi,Lombardia,,Como,CO,H830,0,0,22028,0,0
1537,San Fermo della Battaglia,Lombardia,,Como,CO,H840,0,0,22020,0,0
1538,San Nazzaro Val Cavargna,Lombardia,,Como,CO,I051,0,0,22010,0,0
1539,Schignano,Lombardia,,Como,CO,I529,0,0,22020,0,0
1540,Senna Comasco,Lombardia,,Como,CO,I611,0,0,22070,0,0
1541,Solbiate,Lombardia,,Como,CO,I792,0,0,22070,0,0
1542,Sorico,Lombardia,,Como,CO,I856,0,0,22010,0,0
1543,Sormano,Lombardia,,Como,CO,I860,0,0,22030,0,0
1544,Stazzona,Lombardia,,Como,CO,I943,0,0,22010,0,0
1545,Tavernerio,Lombardia,,Como,CO,L071,0,0,22038,0,0
1546,Torno,Lombardia,,Como,CO,L228,0,0,22020,0,0
1547,Trezzone,Lombardia,,Como,CO,L413,0,0,22010,0,0
1548,Turate,Lombardia,,Como,CO,L470,0,0,22078,0,0
1549,Uggiate-Trevano,Lombardia,,Como,CO,L487,0,0,22029,0,0
1550,Valbrona,Lombardia,,Como,CO,L547,0,0,22039,0,0
1551,Valmorea,Lombardia,,Como,CO,L640,0,0,22070,0,0
1552,Val Rezzo,Lombardia,,Como,CO,H259,0,0,22010,0,0
1553,Valsolda,Lombardia,,Como,CO,C936,0,0,22010,0,0
1554,Veleso,Lombardia,,Como,CO,L715,0,0,22020,0,0
1555,Veniano,Lombardia,,Como,CO,L737,0,0,22070,0,0
1556,Vercana,Lombardia,,Como,CO,L748,0,0,22013,0,0
1557,Vertemate con Minoprio,Lombardia,,Como,CO,L792,0,0,22070,0,0
1558,Villa Guardia,Lombardia,,Como,CO,L956,0,0,22079,0,0
1559,Zelbio,Lombardia,,Como,CO,M156,0,0,22020,0,0
1560,San Siro,Lombardia,,Como,CO,I162,0,0,22010,0,0
1561,Gravedona ed Uniti,Lombardia,,Como,CO,M315,0,0,22010,0,0
1562,Bellagio,Lombardia,,Como,CO,M335,0,0,22021,0,0
1563,Colverde,Lombardia,,Como,CO,M336,0,0,22070,0,0
1564,Tremezzina,Lombardia,,Como,CO,M341,0,0,22070,0,0
1565,Alta Valle Intelvi,Lombardia,,Como,CO,M383,0,0,22010,0,0
1566,Albaredo per San Marco,Lombardia,,Sondrio,SO,A135,0,0,23010,0,0
1567,Albosaggia,Lombardia,,Sondrio,SO,A172,0,0,23010,0,0
1568,Andalo Valtellino,Lombardia,,Sondrio,SO,A273,0,0,23014,0,0
1569,Aprica,Lombardia,,Sondrio,SO,A337,0,0,23031,0,0
1570,Ardenno,Lombardia,,Sondrio,SO,A382,0,0,23011,0,0
1571,Bema,Lombardia,,Sondrio,SO,A777,0,0,23010,0,0
1572,Berbenno di Valtellina,Lombardia,,Sondrio,SO,A787,0,0,23010,0,0
1573,Bianzone,Lombardia,,Sondrio,SO,A848,0,0,23030,0,0
1574,Bormio,Lombardia,,Sondrio,SO,B049,0,0,23032,0,0
1575,Buglio in Monte,Lombardia,,Sondrio,SO,B255,0,0,23010,0,0
1576,Caiolo,Lombardia,,Sondrio,SO,B366,0,0,23010,0,0
1577,Campodolcino,Lombardia,,Sondrio,SO,B530,0,0,23021,0,0
1578,Caspoggio,Lombardia,,Sondrio,SO,B993,0,0,23020,0,0
1579,Castello dell'Acqua,Lombardia,,Sondrio,SO,C186,0,0,23030,0,0
1580,Castione Andevenno,Lombardia,,Sondrio,SO,C325,0,0,23012,0,0
1581,Cedrasco,Lombardia,,Sondrio,SO,C418,0,0,23010,0,0
1582,Cercino,Lombardia,,Sondrio,SO,C493,0,0,23016,0,0
1583,Chiavenna,Lombardia,,Sondrio,SO,C623,0,0,23022,0,0
1584,Chiesa in Valmalenco,Lombardia,,Sondrio,SO,C628,0,0,23023,0,0
1585,Chiuro,Lombardia,,Sondrio,SO,C651,0,0,23030,0,0
1586,Cino,Lombardia,,Sondrio,SO,C709,0,0,23010,0,0
1587,Civo,Lombardia,,Sondrio,SO,C785,0,0,23010,0,0
1588,Colorina,Lombardia,,Sondrio,SO,C903,0,0,23010,0,0
1589,Cosio Valtellino,Lombardia,,Sondrio,SO,D088,0,0,23013,0,0
1590,Dazio,Lombardia,,Sondrio,SO,D258,0,0,23010,0,0
1591,Delebio,Lombardia,,Sondrio,SO,D266,0,0,23014,0,0
1592,Dubino,Lombardia,,Sondrio,SO,D377,0,0,23015,0,0
1593,Faedo Valtellino,Lombardia,,Sondrio,SO,D456,0,0,23020,0,0
1594,Forcola,Lombardia,,Sondrio,SO,D694,0,0,23010,0,0
1595,Fusine,Lombardia,,Sondrio,SO,D830,0,0,23010,0,0
1596,Gerola Alta,Lombardia,,Sondrio,SO,D990,0,0,23010,0,0
1597,Gordona,Lombardia,,Sondrio,SO,E090,0,0,23020,0,0
1598,Grosio,Lombardia,,Sondrio,SO,E200,0,0,23033,0,0
1599,Grosotto,Lombardia,,Sondrio,SO,E201,0,0,23034,0,0
1600,Madesimo,Lombardia,,Sondrio,SO,E342,0,0,23024,0,0
1601,Lanzada,Lombardia,,Sondrio,SO,E443,0,0,23020,0,0
1602,Livigno,Lombardia,,Sondrio,SO,E621,0,0,23030,0,0
1603,Lovero,Lombardia,,Sondrio,SO,E705,0,0,23030,0,0
1604,Mantello,Lombardia,,Sondrio,SO,E896,0,0,23016,0,0
1605,Mazzo di Valtellina,Lombardia,,Sondrio,SO,F070,0,0,23030,0,0
1606,Mello,Lombardia,,Sondrio,SO,F115,0,0,23010,0,0
1607,Mese,Lombardia,,Sondrio,SO,F153,0,0,23020,0,0
1608,Montagna in Valtellina,Lombardia,,Sondrio,SO,F393,0,0,23020,0,0
1609,Morbegno,Lombardia,,Sondrio,SO,F712,0,0,23017,0,0
1610,Novate Mezzola,Lombardia,,Sondrio,SO,F956,0,0,23025,0,0
1611,Pedesina,Lombardia,,Sondrio,SO,G410,0,0,23010,0,0
1612,Piantedo,Lombardia,,Sondrio,SO,G572,0,0,23010,0,0
1613,Piateda,Lombardia,,Sondrio,SO,G576,0,0,23020,0,0
1614,Piuro,Lombardia,,Sondrio,SO,G718,0,0,23020,0,0
1615,Poggiridenti,Lombardia,,Sondrio,SO,G431,0,0,23020,0,0
1616,Ponte in Valtellina,Lombardia,,Sondrio,SO,G829,0,0,23026,0,0
1617,Postalesio,Lombardia,,Sondrio,SO,G937,0,0,23010,0,0
1618,Prata Camportaccio,Lombardia,,Sondrio,SO,G993,0,0,23020,0,0
1619,Rasura,Lombardia,,Sondrio,SO,H192,0,0,23010,0,0
1620,Rogolo,Lombardia,,Sondrio,SO,H493,0,0,23010,0,0
1621,Samolaco,Lombardia,,Sondrio,SO,H752,0,0,23027,0,0
1622,San Giacomo Filippo,Lombardia,,Sondrio,SO,H868,0,0,23020,0,0
1623,Sernio,Lombardia,,Sondrio,SO,I636,0,0,23030,0,0
1624,Sondalo,Lombardia,,Sondrio,SO,I828,0,0,23035,0,0
1625,Sondrio,Lombardia,,Sondrio,SO,I829,1,0,23100,0,0
1626,Spriana,Lombardia,,Sondrio,SO,I928,0,0,23020,0,0
1627,Talamona,Lombardia,,Sondrio,SO,L035,0,0,23018,0,0
1628,Tartano,Lombardia,,Sondrio,SO,L056,0,0,23010,0,0
1629,Teglio,Lombardia,,Sondrio,SO,L084,0,0,23036,0,0
1630,Tirano,Lombardia,,Sondrio,SO,L175,0,0,23037,0,0
1631,Torre di Santa Maria,Lombardia,,Sondrio,SO,L244,0,0,23020,0,0
1632,Tovo di Sant'Agata,Lombardia,,Sondrio,SO,L316,0,0,23030,0,0
1633,Traona,Lombardia,,Sondrio,SO,L330,0,0,23019,0,0
1634,Tresivio,Lombardia,,Sondrio,SO,L392,0,0,23020,0,0
1635,Valdidentro,Lombardia,,Sondrio,SO,L557,0,0,23038,0,0
1636,Valdisotto,Lombardia,,Sondrio,SO,L563,0,0,23030,0,0
1637,Valfurva,Lombardia,,Sondrio,SO,L576,0,0,23030,0,0
1638,Val Masino,Lombardia,,Sondrio,SO,L638,0,0,23010,0,0
1639,Verceia,Lombardia,,Sondrio,SO,L749,0,0,23020,0,0
1640,Vervio,Lombardia,,Sondrio,SO,L799,0,0,23030,0,0
1641,Villa di Chiavenna,Lombardia,,Sondrio,SO,L907,0,0,23029,0,0
1642,Villa di Tirano,Lombardia,,Sondrio,SO,L908,0,0,23030,0,0
1643,Abbiategrasso,Lombardia,Milano,,MI,A010,0,0,20081,0,0
1644,Albairate,Lombardia,Milano,,MI,A127,0,0,20080,0,0
1645,Arconate,Lombardia,Milano,,MI,A375,0,0,20020,0,0
1646,Arese,Lombardia,Milano,,MI,A389,0,0,20020,0,0
1647,Arluno,Lombardia,Milano,,MI,A413,0,0,20010,0,0
1648,Assago,Lombardia,Milano,,MI,A473,0,0,20090,0,0
1649,Bareggio,Lombardia,Milano,,MI,A652,0,0,20010,0,0
1650,Basiano,Lombardia,Milano,,MI,A697,0,0,20060,0,0
1651,Basiglio,Lombardia,Milano,,MI,A699,0,0,20080,0,0
1652,Bellinzago Lombardo,Lombardia,Milano,,MI,A751,0,0,20060,0,0
1653,Bernate Ticino,Lombardia,Milano,,MI,A804,0,0,20010,0,0
1654,Besate,Lombardia,Milano,,MI,A820,0,0,20080,0,0
1655,Binasco,Lombardia,Milano,,MI,A872,0,0,20082,0,0
1656,Boffalora sopra Ticino,Lombardia,Milano,,MI,A920,0,0,20010,0,0
1657,Bollate,Lombardia,Milano,,MI,A940,0,0,20021,0,0
1658,Bresso,Lombardia,Milano,,MI,B162,0,0,20091,0,0
1659,Bubbiano,Lombardia,Milano,,MI,B235,0,0,20080,0,0
1660,Buccinasco,Lombardia,Milano,,MI,B240,0,0,20090,0,0
1661,Buscate,Lombardia,Milano,,MI,B286,0,0,20010,0,0
1662,Bussero,Lombardia,Milano,,MI,B292,0,0,20060,0,0
1663,Busto Garolfo,Lombardia,Milano,,MI,B301,0,0,20020,0,0
1664,Calvignasco,Lombardia,Milano,,MI,B448,0,0,20080,0,0
1665,Cambiago,Lombardia,Milano,,MI,B461,0,0,20040,0,0
1666,Canegrate,Lombardia,Milano,,MI,B593,0,0,20010,0,0
1667,Carpiano,Lombardia,Milano,,MI,B820,0,0,20080,0,0
1668,Carugate,Lombardia,Milano,,MI,B850,0,0,20061,0,0
1669,Casarile,Lombardia,Milano,,MI,B938,0,0,20080,0,0
1670,Casorezzo,Lombardia,Milano,,MI,B989,0,0,20010,0,0
1671,Cassano d'Adda,Lombardia,Milano,,MI,C003,0,0,20062,0,0
1672,Cassina de' Pecchi,Lombardia,Milano,,MI,C014,0,0,20060,0,0
1673,Cassinetta di Lugagnano,Lombardia,Milano,,MI,C033,0,0,20081,0,0
1674,Castano Primo,Lombardia,Milano,,MI,C052,0,0,20022,0,0
1675,Cernusco sul Naviglio,Lombardia,Milano,,MI,C523,0,0,20063,0,0
1676,Cerro al Lambro,Lombardia,Milano,,MI,C536,0,0,20070,0,0
1677,Cerro Maggiore,Lombardia,Milano,,MI,C537,0,0,20023,0,0
1678,Cesano Boscone,Lombardia,Milano,,MI,C565,0,0,20090,0,0
1679,Cesate,Lombardia,Milano,,MI,C569,0,0,20020,0,0
1680,Cinisello Balsamo,Lombardia,Milano,,MI,C707,0,0,20092,0,0
1681,Cisliano,Lombardia,Milano,,MI,C733,0,0,20080,0,0
1682,Cologno Monzese,Lombardia,Milano,,MI,C895,0,0,20093,0,0
1683,Colturano,Lombardia,Milano,,MI,C908,0,0,20060,0,0
1684,Corbetta,Lombardia,Milano,,MI,C986,0,0,20011,0,0
1685,Cormano,Lombardia,Milano,,MI,D013,0,0,20032,0,0
1686,Cornaredo,Lombardia,Milano,,MI,D018,0,0,20010,0,0
1687,Corsico,Lombardia,Milano,,MI,D045,0,0,20094,0,0
1688,Cuggiono,Lombardia,Milano,,MI,D198,0,0,20012,0,0
1689,Cusago,Lombardia,Milano,,MI,D229,0,0,20090,0,0
1690,Cusano Milanino,Lombardia,Milano,,MI,D231,0,0,20095,0,0
1691,Dairago,Lombardia,Milano,,MI,D244,0,0,20020,0,0
1692,Dresano,Lombardia,Milano,,MI,D367,0,0,20070,0,0
1693,Gaggiano,Lombardia,Milano,,MI,D845,0,0,20083,0,0
1694,Garbagnate Milanese,Lombardia,Milano,,MI,D912,0,0,20024,0,0
1695,Gessate,Lombardia,Milano,,MI,D995,0,0,20060,0,0
1696,Gorgonzola,Lombardia,Milano,,MI,E094,0,0,20064,0,0
1697,Grezzago,Lombardia,Milano,,MI,E170,0,0,20056,0,0
1698,Gudo Visconti,Lombardia,Milano,,MI,E258,0,0,20088,0,0
1699,Inveruno,Lombardia,Milano,,MI,E313,0,0,20010,0,0
1700,Inzago,Lombardia,Milano,,MI,E317,0,0,20065,0,0
1701,Lacchiarella,Lombardia,Milano,,MI,E395,0,0,20084,0,0
1702,Lainate,Lombardia,Milano,,MI,E415,0,0,20020,0,0
1703,Legnano,Lombardia,Milano,,MI,E514,0,0,20025,0,0
1704,Liscate,Lombardia,Milano,,MI,E610,0,0,20060,0,0
1705,Locate di Triulzi,Lombardia,Milano,,MI,E639,0,0,20085,0,0
1706,Magenta,Lombardia,Milano,,MI,E801,0,0,20013,0,0
1707,Magnago,Lombardia,Milano,,MI,E819,0,0,20020,0,0
1708,Marcallo con Casone,Lombardia,Milano,,MI,E921,0,0,20010,0,0
1709,Masate,Lombardia,Milano,,MI,F003,0,0,20060,0,0
1710,Mediglia,Lombardia,Milano,,MI,F084,0,0,20060,0,0
1711,Melegnano,Lombardia,Milano,,MI,F100,0,0,20077,0,0
1712,Melzo,Lombardia,Milano,,MI,F119,0,0,20066,0,0
1713,Mesero,Lombardia,Milano,,MI,F155,0,0,20010,0,0
1714,Milano,Lombardia,Milano,,MI,F205,1,1,20100,20162,20121
1715,Morimondo,Lombardia,Milano,,MI,D033,0,0,20081,0,0
1716,Motta Visconti,Lombardia,Milano,,MI,F783,0,0,20086,0,0
1717,Nerviano,Lombardia,Milano,,MI,F874,0,0,20014,0,0
1718,Nosate,Lombardia,Milano,,MI,F939,0,0,20020,0,0
1719,Novate Milanese,Lombardia,Milano,,MI,F955,0,0,20026,0,0
1720,Noviglio,Lombardia,Milano,,MI,F968,0,0,20082,0,0
1721,Opera,Lombardia,Milano,,MI,G078,0,0,20090,0,0
1722,Ossona,Lombardia,Milano,,MI,G181,0,0,20010,0,0
1723,Ozzero,Lombardia,Milano,,MI,G206,0,0,20080,0,0
1724,Paderno Dugnano,Lombardia,Milano,,MI,G220,0,0,20037,0,0
1725,Pantigliate,Lombardia,Milano,,MI,G316,0,0,20090,0,0
1726,Parabiago,Lombardia,Milano,,MI,G324,0,0,20015,0,0
1727,Paullo,Lombardia,Milano,,MI,G385,0,0,20067,0,0
1728,Pero,Lombardia,Milano,,MI,C013,0,0,20016,0,0
1729,Peschiera Borromeo,Lombardia,Milano,,MI,G488,0,0,20068,0,0
1730,Pessano con Bornago,Lombardia,Milano,,MI,G502,0,0,20060,0,0
1731,Pieve Emanuele,Lombardia,Milano,,MI,G634,0,0,20090,0,0
1732,Pioltello,Lombardia,Milano,,MI,G686,0,0,20096,0,0
1733,Pogliano Milanese,Lombardia,Milano,,MI,G772,0,0,20010,0,0
1734,Pozzo d'Adda,Lombardia,Milano,,MI,G955,0,0,20060,0,0
1735,Pozzuolo Martesana,Lombardia,Milano,,MI,G965,0,0,20060,0,0
1736,Pregnana Milanese,Lombardia,Milano,,MI,H026,0,0,20010,0,0
1737,Rescaldina,Lombardia,Milano,,MI,H240,0,0,20027,0,0
1738,Rho,Lombardia,Milano,,MI,H264,0,0,20017,0,0
1739,Robecchetto con Induno,Lombardia,Milano,,MI,H371,0,0,20020,0,0
1740,Robecco sul Naviglio,Lombardia,Milano,,MI,H373,0,0,20087,0,0
1741,Rodano,Lombardia,Milano,,MI,H470,0,0,20090,0,0
